9.00022,9.23086,9.31034,9.55033,9.70168,9.70176,10,10,10,10,10.2926,10.5792,10.6667,11,11,11,11,11,11,11,11.1988,11.2321,11.5485,12,12,12.0651,12.1389,12.2655,12.3151,12.4976,12.5088,12.5088,12.7017,13,13,13.4211,13.7193,14.1425,14.2467,14.9763,15,15.2698,16,16.4211,17,17.1801,17.5494,17.5965,20,21.86,
13.5838,13.6004,13.614,13.6667,13.7193,13.7254,14,14,14.3558,14.3911,14.4211,14.4588,14.4889,14.7017,14.9007,14.9123,15,15,15.4987,15.919,16,16,16.0002,16.0351,16.0738,16.188,16.3798,16.5396,17,17,17.1801,17.2823,17.3158,17.5899,17.6033,17.617,17.8894,18.1801,18.3158,18.3334,18.8208,19,19.4722,20,20.4211,20.5831,22.7017,24.2433,24.772,26.3158,
16.9123,17,17,17,17.0312,17.0351,17.0679,17.4489,17.4853,17.4904,18,18,18,18.1507,18.1682,18.2296,18.2457,18.3413,18.4097,18.4175,18.4349,18.6067,18.911,18.9502,19.1586,19.2281,19.3413,19.4423,19.5527,20,20,20.0904,20.1879,20.3334,20.3334,20.4423,20.6359,21,21,21.4711,21.7747,22.0473,22.603,23.5363,23.6667,25.1509,25.4386,25.5943,26,29.0487,
18.7193,18.9571,19,19.1721,19.2527,19.3334,19.4148,19.6615,19.667,19.7193,20,20,20.0045,20.0188,20.2968,20.4211,20.4405,20.5436,20.6953,20.7193,20.7791,21.0123,21.2,21.2123,21.3334,21.3334,21.6667,22,22,22,22,22.1228,22.3467,22.407,22.4666,22.6667,23,23.0839,23.1237,23.6426,24,24.0302,24.0443,24.2386,26.3381,27.2769,29.5263,30,31.4276,31.5604,
20,20,20,20.0702,20.2389,20.2712,20.5907,20.9508,21,21.0211,21.1395,21.2207,21.2568,21.376,21.6316,21.6402,21.9189,22,22.3492,22.5149,22.6316,22.6667,22.6667,22.8896,22.9916,22.9994,23.1228,23.4211,23.522,23.8206,24.2236,24.2358,24.6638,24.6874,24.7368,25.0413,25.1228,25.4358,25.6667,26,27.2456,27.3459,27.3772,27.4211,27.4211,28,28,28.6667,29,34.6058,
22.509,22.5887,22.6667,22.7193,22.7317,22.7496,22.9098,22.9709,22.9861,23,23.0004,23.1697,23.2135,23.3747,23.5263,23.5877,23.6667,23.7177,24.1228,24.7736,24.8206,24.9133,25.2761,25.3439,25.5388,25.6,25.6399,25.6667,25.9825,26,26.0163,26.0359,26.072,26.4211,27,27.4211,27.5447,27.6667,28,28.3566,28.736,29,30,30.2707,31.2718,31.6295,32.1404,32.5912,33.6439,34.1825,
24.7983,24.8982,24.9474,25.0001,25.027,25.1404,25.3334,25.4211,25.7018,25.7836,25.807,25.83,26,26.0005,26.0018,26.2291,26.2798,26.4211,26.7696,27,27,27,27.0211,27.2932,27.6667,27.7,27.7193,28,28,28.3817,28.5829,28.5938,29.0216,29.0458,29.0542,29.3334,29.4492,29.7081,29.8282,30.3334,31.8421,32,32.4979,33.1351,33.4945,33.807,34.1825,35.0009,35.7026,36.6288,
27,27.0002,27.2195,27.2382,27.4211,27.7018,27.7206,27.8205,27.8808,28.0223,28.0228,28.0989,28.3279,28.3486,28.4595,28.4842,28.5036,28.548,28.578,28.5821,28.7193,28.807,29,29,29,29,29.0062,29.4211,29.5204,29.9303,30,30.467,30.8338,30.9142,31,31.0134,31.3,31.412,31.5823,32.0351,32.0404,32.8732,33,33.4234,34.0333,34.0351,34.0351,34.1825,34.2786,35,
27,27,27.5272,27.6091,27.7018,28,28,28.0211,28.3113,28.5263,28.6227,28.9857,29.1772,29.4644,29.5694,30.0351,30.0351,30.4672,30.477,30.6053,30.6163,30.6574,31,31.0386,31.3632,31.6914,31.824,32,32,32.0196,32.0351,32.0555,32.3322,32.3439,32.7063,33,33,33,33.0351,33.1276,33.3267,34.8211,35.5902,37.3592,37.386,37.7193,37.7208,38.5442,39,39.7267,
30.0196,30.0351,30.1836,30.6667,31,31,31,31,31.0351,31.2864,31.2894,31.5725,32,32,32.2799,32.5825,33,33,33.267,33.5199,33.7667,34,34,34,34.2686,34.3439,34.3632,34.5304,34.6667,34.7359,35,35,35,35.0247,35.0684,35.7597,36,36.1405,37.4211,37.7193,38.6638,39.0089,39.0089,39.4035,40,40.2394,40.7193,41,41,41,
34,34.0729,34.1664,34.4281,35,35,35,35,35.0892,35.3903,35.6638,35.727,35.7306,36,36,36,36.0526,36.1095,36.3114,37,37,37.2784,37.3643,37.7018,38,38,38.2658,38.4702,38.5935,39,40,40,40.3667,40.7804,41.0089,41.6339,41.7242,42,42,42.0333,42.7984,43.4386,44,45,45,45,47.2281,47.6331,48,51.0284,
38,38.2105,38.5088,38.7558,38.8919,38.9484,38.9965,39,39,39,39.0158,39.0351,39.2597,39.2783,39.3614,39.4211,39.5123,39.6339,39.7444,40.0667,40.0826,41,41,41.3667,41.9187,42,42,42.1,42.7193,42.9947,43.2458,44.6599,45,46.6474,47,47,47,47,47.4902,48,48,48.3123,49.1193,49.1958,49.6578,50.023,51,56.003,56.3334,59.7329,
41.9846,42,42,42.2737,42.4035,42.7018,43,43,43,43.0457,43.8451,44.0139,44.0667,44.1811,44.4,45,45,45.095,45.1176,45.6333,45.8187,45.853,46,46,46,46,46.0517,46.0526,46.2375,46.8749,47,47,47,47.2351,47.3355,47.688,49,49,49.6563,50,50.276,50.3123,51.8989,52.5754,53,53.913,55,57.1091,58.3334,59,
46,46,46,46,46,46,46.0526,46.3684,46.6279,46.6982,47,47,47,47,47,47.0667,47.0872,47.2367,47.4824,48,48,48.1074,48.2242,49,49,49.524,50.1259,50.2058,51,51.0962,52,52.1812,52.7457,53.0351,53.193,53.6218,54.4238,54.814,55,56.3334,56.645,57.4319,58.3674,59.7711,60,60.5754,61.2071,63.7762,64.5754,72,
51.0351,51.1846,51.2058,51.2175,51.899,52,52.193,52.3984,52.7193,53,53,53.0089,53.0351,54,54.4022,54.814,54.8351,54.8623,55,55.2105,55.3334,55.814,56.154,56.4561,56.5626,56.5764,57,57.0351,57.0422,58.2361,58.8852,59.0667,59.7867,60.5754,61,61.5754,61.805,62.9085,64,64.7649,65,65.7744,68.1063,69.5754,70,70.4224,71,72.121,78.8247,82.1262,
56.7633,56.8649,57.1874,57.6109,57.643,58,58,58.0509,58.7867,58.9674,59,59.3334,59.8539,59.899,60.0717,60.0933,60.3748,61,61,61.1693,62,62,62.3717,62.4211,62.4612,63,63,64.4044,66.3123,67,67.3123,68.285,71.912,72.1175,72.4224,73,73,73.8712,74,74,76.4158,76.4905,79.9719,80.8377,80.8898,85.0022,87.1873,104.416,114.551,117.709,
64.8447,65,65,66,66.5892,66.8102,67,67,67,67.0002,68.0456,68.6113,70.0251,71,71,71,71.4969,72.31,72.3123,72.9106,73,73.193,73.6667,74,74.4658,75,75.3123,76.9174,77,77,77.6,78.0002,78.9667,79.3335,81.1665,81.3123,82.6577,86.7553,91.5509,93.7933,96.8164,98.1573,98.5509,99.9579,101.116,101.855,106.304,107.575,111.304,111.575,
77.3071,78,78,78,78,78.3123,78.3799,79.9255,80.0159,80.6,82,82,82.1439,82.9991,83,83.0018,84.7971,85,85,85.9468,87,87.884,89,89,89.0007,89.9965,90.3289,90.6333,91,91.1489,91.3035,92.5498,93.2961,94.2214,95,95,96.7088,97.0734,97.1035,99.3035,99.4211,101.633,102,102,107.425,108.06,109.456,118.575,120.304,122.984,
88,88.7193,89.2587,89.3035,90,90,91.3656,91.3659,92.2751,93,93.3559,93.9942,94.3273,94.4211,94.7364,95.5754,96.0351,96.1877,97.4211,98.9754,99.3697,99.8462,100,101,102.706,103.177,103.51,104.428,105.626,106,106.417,106.575,106.575,107.056,109.667,114,114,115.621,116.982,117.203,120,122.304,122.709,123.967,125.304,134.393,139.243,144.333,156.303,159.303,
102.28,102.898,103,103,103.575,103.734,104,104.51,104.846,104.951,106.004,106.957,107.276,108.421,110.421,111.25,111.316,112,113.033,113.044,114,114.789,115.97,116.017,116.989,118,118.575,119.304,120.709,122,123,124.456,127.807,128,128,131,131,133,133.239,134,137.37,141,142.315,144.833,146.406,147.021,149.303,153.303,155.303,180.287,
122,122,122.456,122.789,123.304,123.456,123.709,123.709,123.788,124,124,124,124.008,125,125.304,128,128.667,130,130,131.239,131.303,133,134.038,134.303,135,135,136,136.092,139.84,141,141.303,144,145.303,145.33,146.709,147.123,148,148.421,158,159.297,168.381,183.287,184.287,190,196.059,202,205,209,222.856,242.683,
